CP	P	ANO	state	Amb	Longitude	Latitude
5.8	3	2008	MatoGrossodoSul	Grande	-51.8850000000	-19.0866700000
8.4	10	2008	Goias	Grande	-52.9758300000	-18.2972200000
13.5	38	2008	MatoGrossodoSul	Pequeno	-55.2580600000	-20.5030600000
6.8	5.5	2008	MatoGrossodoSul	Grande	-51.7502800000	-19.1533300000
6.3	3.5	2009	Goias	Grande	-53.0091700000	-18.1322200000
9.2	14	2009	Goias	Grande	-52.9758300000	-18.2972200000
15.8	75	2009	SaoPaulo	Pequeno	-47.7102800000	-23.8105600000
8.4	19.6	2010	SaoPaulo	Grande	-48.5194400000	-22.3030600000
11.4	43.3	2010	SaoPaulo	Pequeno	-47.2913900000	-23.9288900000
6.4	4.1	2010	SaoPaulo	Grande	-52.4266700000	-22.4813900000
7.6	9	2010	SaoPaulo	Grande	-52.5294400000	-22.3530600000
16.5	93.5	2011	MinasGerais	Pequeno	-45.3302800000	-22.4941700000
14.4	44	2011	SaoPaulo	Pequeno	-49.4958300000	-21.0141700000
6.5	5	2011	SaoPaulo	Grande	-49.4172200000	-21.2561100000
6	4	2011	SaoPaulo	Grande	-49.0266700000	-20.9686100000
6.1	5	2011	SaoPaulo	Grande	-48.9702800000	-21.0988900000
9.5	12	2011	SaoPaulo	Grande	-49.4616700000	-21.1486100000
14.4	65	2011	SaoPaulo	Grande	-47.7002800000	-21.5505600000
8.7	10	2011	SaoPaulo	Grande	-52.2377800000	-22.3016700000
9.7	15	2011	SaoPaulo	Grande	-52.6886100000	-22.3811100000
5.6	2	2011	SaoPaulo	Grande	-48.7302800000	-21.5150000000
8.1	8.5	2011	SaoPaulo	Pequeno	-51.5358300000	-22.5775000000
7.9	9	2011	SaoPaulo	Grande	-49.2308300000	-20.8791700000
15.8	53	2011	SaoPaulo	Pequeno	-49.2388900000	-21.0494400000
15.4	56	2011	MinasGerais	Pequeno	-45.3297200000	-22.4936100000
12.9	40	2011	MinasGerais	Pequeno	-47.1452800000	-19.1327800000
5.2	2	2011	SaoPaulo	Grande	-51.5433300000	-21.6497200000
8.1	8	2011	MinasGerais	Pequeno	-48.0875000000	-19.9180600000
15	67	2012	SaoPaulo	Grande	-51.8319400000	-21.3144400000
7.7	10.5	2012	Goias	Grande	-48.6527800000	-17.8491700000
9.1	12	2012	SaoPaulo	Pequeno	-48.4827800000	-22.1072200000
6.6	4	2012	SaoPaulo	Pequeno	-47.4586100000	-21.9936100000
7.4	5	2012	SaoPaulo	Grande	-48.5130600000	-22.3119400000
9.2	12	2012	Goias	Grande	-49.3538900000	-16.2408300000
5	3	2012	Goias	Grande	NA	NA
4.5	1.5	2012	SaoPaulo	Pequeno	-46.8719400000	-21.9869400000
16	68.7	2012	MinasGerais	Pequeno	-48.3863900000	-19.9086100000
12.5	31	2012	SaoPaulo	Pequeno	-46.9227800000	-21.9219400000
5.9	3	2012	MinasGerais	Pequeno	-43.7761100000	-20.9533300000
10	18	2012	SaoPaulo	Pequeno	-48.4858300000	-22.0555600000
12.9	25	2013	MinasGerais	Pequeno	-46.7230600000	-20.7763900000
5.9	3.3	2013	SaoPaulo	Grande	-50.9269400000	-20.5188900000
5.3	3	2013	SaoPaulo	Grande	-49.6850000000	-20.1858300000
8.8	13	2014	SaoPaulo	Pequeno	-49.1847200000	-24.0711100000
6.3	3	2014	SaoPaulo	Pequeno	-49.3975000000	-21.1736100000
18.3	94	2017	SaoPaulo	Pequeno	-45.4834722222	-23.0843611111
15.8	64.3	2017	SaoPaulo	Pequeno	-47.7687805556	-23.3263888889
