CP	P	ANO	state	Amb	Longitude	Latitude
11.6	48.7	1992	SaoPaulo	Grande	-49.3933300000	-21.1911100000
7.7	9	1993	SaoPaulo	Pequeno	-45.4305600000	-23.5305600000
7.6	10	1997	SaoPaulo	Grande	-49.3933300000	-21.1911100000
10.1	23	1998	SaoPaulo	Grande	-45.7358300000	-23.5641700000
14	57	1998	SaoPaulo	Grande	-49.2897200000	-20.8683300000
18.3	137	1998	SaoPaulo	Grande	-49.3652800000	-20.8527800000
5.7	4	1999	SaoPaulo	Grande	-49.3513900000	-20.8441700000
5.8	4	1999	SaoPaulo	Grande	-49.3588900000	-20.8608300000
16	93	1999	SaoPaulo	Grande	-49.2897200000	-20.8683300000
18.5	237	1999	MatoGrossodoSul	Pequeno	-51.6311100000	-20.8555600000
9.4	16	2001	SaoPaulo	Pequeno	-53.0583300000	-22.5675000000
13.2	47	2001	SaoPaulo	Grande	-50.4008300000	-20.2877800000
11.4	30.7	2001	SaoPaulo	Pequeno	-50.4705600000	-20.2113900000
3.7	1	2001	SaoPaulo	Pequeno	-49.3683300000	-20.8086100000
12.1	55	2001	SaoPaulo	Grande	-50.3277800000	-19.9211100000
9.2	16.5	2002	SaoPaulo	Grande	-50.5008300000	-20.2127800000
6.5	7	2002	SaoPaulo	Pequeno	-49.3683300000	-20.8086100000
15.2	76.7	2002	SaoPaulo	Grande	-50.4844400000	-20.1966700000
7.3	7	2003	SaoPaulo	Grande	-47.7025000000	-22.5638900000
7.1	6.5	2003	SaoPaulo	Grande	-50.3102800000	-21.4555600000
5.6	3	2003	SaoPaulo	Grande	-49.3933300000	-21.1911100000
11.8	31	2003	SaoPaulo	Grande	-49.5811100000	-20.7794400000
6.5	6.8	2003	SaoPaulo	Grande	-49.7100000000	-20.7147200000
12.8	39	2003	SaoPaulo	Grande	-49.7116700000	-20.6083300000
18.5	149	2003	SaoPaulo	Grande	-49.5630600000	-20.8222200000
8.6	11	2003	SaoPaulo	Grande	-49.8925000000	-20.6255600000
26	454	2003	SaoPaulo	Grande	-49.9683300000	-20.6127800000
9.0	15.3	2003	SaoPaulo	Grande	-50.0211100000	-20.6741700000
6.4	4	2003	SaoPaulo	Grande	-49.9352800000	-20.5419400000
8.8	14	2003	SaoPaulo	Grande	-50.0213900000	-20.6313900000
7.5	8	2003	SaoPaulo	Grande	-50.2633300000	-20.4441700000
8.8	18	2003	SaoPaulo	Pequeno	-50.2844400000	-20.3294400000
10.6	26.5	2003	SaoPaulo	Grande	-50.3847200000	-20.3144400000
15.4	190.7	2003	SaoPaulo	Grande	-50.4725000000	-20.4627800000
16.2	83	2003	SaoPaulo	Grande	-50.4222200000	-20.6025000000
7.3	8	2003	SaoPaulo	Grande	-50.3716700000	-20.6286100000
11.8	47	2003	SaoPaulo	Grande	-50.5680600000	-20.6058300000
9.2	16	2003	SaoPaulo	Grande	-50.5858300000	-20.3830600000
6.5	5.3	2003	SaoPaulo	Grande	-50.6786100000	-20.3475000000
13.4	68.5	2003	SaoPaulo	Grande	-50.7816700000	-20.3863900000
7.6	21.6	2003	SaoPaulo	Pequeno	-47.5091700000	-22.3744400000
12.0	58.5	2003	SaoPaulo	Grande	-51.0488900000	-20.5247200000
17.9	157	2003	SaoPaulo	Grande	-50.9127800000	-20.1516700000
7.7	11	2003	SaoPaulo	Pequeno	-49.4597200000	-21.0216700000
7.4	7	2003	SaoPaulo	Grande	-49.4030600000	-20.6452800000
6.2	5.5	2003	SaoPaulo	Grande	-49.3933300000	-21.1911100000
4.3	2	2004	SaoPaulo	Pequeno	-49.4597200000	-21.0216700000
11.7	32	2004	SaoPaulo	Pequeno	-49.2202800000	-20.7950000000
19.3	134	2004	SaoPaulo	Pequeno	-49.4877800000	-20.9888900000
5.7	4	2004	SaoPaulo	Grande	-49.3519400000	-20.8411100000
6.2	4	2004	SaoPaulo	Grande	-49.4577800000	-20.7850000000
9.5	16	2004	SaoPaulo	Grande	-49.6783300000	-20.8138900000
7.4	11.5	2004	SaoPaulo	Grande	-49.3200000000	-20.8936100000
7.9	8	2004	SaoPaulo	Grande	-50.9411100000	-20.0791700000
6	4	2004	SaoPaulo	Grande	-50.8158300000	-20.1333300000
13.6	59	2004	SaoPaulo	Grande	-50.6219400000	-19.9913900000
6.9	6	2004	SaoPaulo	Grande	-49.6688900000	-20.8341700000
12.5	48.5	2004	SaoPaulo	Grande	-50.4927800000	-20.1683300000
12.5	50.5	2004	SaoPaulo	Grande	-50.4472200000	-19.9727800000
19.5	117	2004	SaoPaulo	Grande	-50.4847200000	-20.2436100000
8.5	11.3	2004	SaoPaulo	Grande	-50.4375000000	-20.1550000000
4.3	1	2004	SaoPaulo	Grande	-49.9602800000	-20.2044400000
12.6	49.5	2004	SaoPaulo	Grande	-49.9252800000	-20.2888900000
13	46	2004	SaoPaulo	Grande	-50.3797200000	-20.1425000000
9.4	17	2004	SaoPaulo	Grande	-49.6561100000	-20.8522200000
9.9	17	2004	SaoPaulo	Grande	-49.3191700000	-20.8377800000
14.9	59	2005	MatoGrossodoSul	Pequeno	-51.9302800000	-19.7261100000
9.2	23.7	2005	SaoPaulo	Grande	-49.6561100000	-20.8522200000
4.7	2	2005	SaoPaulo	Grande	-49.6783300000	-20.8138900000
5.7	3.5	2005	SaoPaulo	Grande	-49.3519400000	-20.8411100000
8.5	22.8	2005	SaoPaulo	Pequeno	-49.2775000000	-20.3530600000
7.9	9	2005	MatoGrossodoSul	Grande	-53.8186100000	-22.1516700000
6.2	5	2005	MatoGrossodoSul	Pequeno	-53.7833300000	-22.2330600000
13.3	48	2005	MatoGrossodoSul	Grande	-53.7266700000	-22.0430600000
10.4	23	2005	SaoPaulo	Pequeno	-47.8927800000	-24.6036100000
6.3	7.7	2005	SaoPaulo	Pequeno	-47.8963900000	-24.6072200000
11.3	27	2005	SaoPaulo	Grande	-47.8841700000	-24.6136100000
11	24	2005	SaoPaulo	Pequeno	-47.8886100000	-24.6122200000
7.2	8	2005	SaoPaulo	Grande	-49.8161100000	-20.2975000000
11.1	26	2005	SaoPaulo	Grande	-49.8327800000	-20.3691700000
9.1	16	2005	SaoPaulo	Grande	-49.6161100000	-20.4233300000
8.5	14	2005	SaoPaulo	Grande	-49.6855600000	-20.4022200000
4.7	2	2005	SaoPaulo	Grande	-51.0988900000	-21.2947200000
13	44	2005	SaoPaulo	Pequeno	-49.8233300000	-20.1100000000
8.2	11	2005	SaoPaulo	Pequeno	-49.8677800000	-20.1908300000
17.4	111	2005	SaoPaulo	Grande	-49.5469400000	-20.2072200000
9.5	20.5	2005	SaoPaulo	Grande	-49.6727800000	-20.0950000000
6.6	6	2005	SaoPaulo	Grande	-49.4650000000	-20.8122200000
5.8	4	2005	SaoPaulo	Grande	-49.4061100000	-20.7019400000
15.2	132	2005	SaoPaulo	Grande	-49.0816700000	-20.6947200000
14.6	61.8	2005	SaoPaulo	Grande	-49.1908300000	-20.9863900000
9.7	16	2005	SaoPaulo	Grande	-49.2344400000	-20.8525000000
10.4	22	2005	SaoPaulo	Grande	-48.6041700000	-21.1663900000
9.6	18.5	2005	SaoPaulo	Pequeno	-48.6775000000	-20.9380600000
5.2	3	2005	SaoPaulo	Grande	-48.9516700000	-21.2122200000
11	25	2005	SaoPaulo	Grande	-48.9422200000	-20.7036100000
17.2	105.1	2005	SaoPaulo	Pequeno	-49.2666700000	-20.4166700000
6.8	6	2006	SaoPaulo	Grande	-48.5213900000	-20.7294400000
3.2	1	2006	SaoPaulo	Grande	-47.6566700000	-21.6813900000
4.8	1	2006	SaoPaulo	Pequeno	-49.2775000000	-20.3530600000
14.5	81	2006	SaoPaulo	Grande	-49.4888900000	-20.9988900000
14.8	60	2006	MinasGerais	Grande	-46.8241700000	-20.8516700000
7.8	8	2006	SaoPaulo	Pequeno	-50.0230600000	-20.5788900000
7.1	16.5	2006	SaoPaulo	Pequeno	-50.8955600000	-20.0766700000
12.2	37	2006	MatoGrossodoSul	Pequeno	-51.0427800000	-20.0016700000
6.4	11.8	2006	MatoGrossodoSul	Pequeno	-51.0580600000	-19.8744400000
6	5	2006	MinasGerais	Pequeno	-50.9983300000	-19.8850000000
6.7	6	2006	MatoGrossodoSul	Pequeno	-51.2052800000	-20.1761100000
6.1	4.7	2006	MatoGrossodoSul	Pequeno	-51.1986100000	-20.2719400000
4.5	1.3	2006	MatoGrossodoSul	Pequeno	-51.4130600000	-20.2852800000
5.4	3.4	2006	MatoGrossodoSul	Pequeno	-51.2966700000	-20.2802800000
9.5	17.3	2006	SaoPaulo	Pequeno	-51.2744400000	-20.4500000000
8.5	67.7	2006	SaoPaulo	Pequeno	-51.2450000000	-20.4138900000
3.7	1	2006	SaoPaulo	Pequeno	-51.2905600000	-20.4086100000
4.5	2	2006	SaoPaulo	Pequeno	-51.1397200000	-20.3952800000
5.2	3	2006	SaoPaulo	Pequeno	-51.1325000000	-20.3991700000
5.6	4.5	2006	MinasGerais	Grande	-47.7158300000	-19.6919400000
4.3	2	2006	SaoPaulo	Grande	-49.3283300000	-21.6455600000
10.9	29	2007	SaoPaulo	Grande	-48.7472200000	-21.3600000000
8.4	12	2007	SaoPaulo	Pequeno	-48.7025000000	-21.2836100000
10.4	20	2007	SaoPaulo	Grande	-48.5758300000	-21.0238900000
13.3	66.5	2007	SaoPaulo	Pequeno	-50.9211100000	-21.0169400000
6.5	4	2007	SaoPaulo	Pequeno	-50.8119400000	-21.0644400000
21	232	2007	SaoPaulo	Grande	-50.7580600000	-20.8130600000
10.6	26	2007	SaoPaulo	Grande	-50.7136100000	-20.7038900000
11.4	87	2007	MinasGerais	Grande	-47.7158300000	-19.6919400000
8.1	9	2007	SaoPaulo	Grande	-51.5088900000	-20.7938900000
12.5	42	2007	Goias	Grande	-48.9630600000	-17.7244400000
18	143	2007	Goias	Pequeno	-48.6775000000	-17.7025000000
17.6	103	2007	MinasGerais	Pequeno	-49.1886100000	-18.4994400000
7	6	2007	MatoGrossodoSul	Grande	-51.8077800000	-20.2613900000
6.6	5	2007	MatoGrossodoSul	Grande	-51.6494400000	-20.1836100000
14.5	62	2007	MatoGrossodoSul	Grande	-52.1986100000	-19.5463900000
12.5	46	2007	SaoPaulo	Grande	-49.0805600000	-21.7836100000
9	13.5	2007	SaoPaulo	Grande	-49.0386100000	-21.8291700000
8.4	17.5	2007	SaoPaulo	Grande	-48.3202800000	-21.2505600000
7	7	2008	SaoPaulo	Pequeno	-50.5502800000	-20.6805600000
10.5	40	2008	SaoPaulo	Pequeno	-49.2363900000	-22.8138900000
10	18	2008	MatoGrossodoSul	Grande	-52.1486100000	-19.0500000000
4.7	2	2009	SaoPaulo	Pequeno	-45.9672200000	-23.5986100000
12.9	65.3	2009	SaoPaulo	Pequeno	-49.2902800000	-20.6005600000
5.2	3	2009	SaoPaulo	Pequeno	-48.9002800000	-21.1805600000
14.5	55	2009	SaoPaulo	Pequeno	-47.7102800000	-23.8105600000
13.7	182	2010	SaoPaulo	Pequeno	-48.9002800000	-21.1805600000
4.7	2.4	2010	SaoPaulo	Pequeno	-49.2902800000	-20.6005600000
11.5	31	2010	MinasGerais	Pequeno	-47.1452800000	-19.1327800000
20	175	2010	SaoPaulo	Pequeno	-49.7930600000	-21.2922200000
19.6	230.5	2010	SaoPaulo	Pequeno	-49.7969400000	-21.3016700000
17.1	141.7	2010	SaoPaulo	Pequeno	-49.7547200000	-21.3727800000
8.4	19	2010	SaoPaulo	Pequeno	-49.6747200000	-21.2016700000
9.9	18.3	2010	SaoPaulo	Pequeno	-47.2863900000	-23.7736100000
8	9	2010	SaoPaulo	Grande	-52.4266700000	-22.4813900000
5.3	3	2010	SaoPaulo	Pequeno	-50.6841700000	-22.3841700000
3.4	1	2011	SaoPaulo	Grande	-49.3366700000	-21.1072200000
8.6	12	2011	SaoPaulo	Pequeno	-48.9702800000	-21.0988900000
5.7	3	2011	MatoGrossodoSul	Grande	-51.4772200000	-20.4180600000
15.3	72.8	2011	MinasGerais	Pequeno	-45.3302800000	-22.4941700000
13.5	55	2011	SaoPaulo	Grande	-47.7002800000	-21.5505600000
6.9	5	2011	MinasGerais	Grande	-45.7722200000	-22.3786100000
12.3	28	2011	SaoPaulo	Pequeno	-50.1511100000	-21.7894400000
6.8	10.5	2011	SaoPaulo	Grande	-52.2377800000	-22.3016700000
10.3	24.2	2011	MinasGerais	Pequeno	-42.7658300000	-19.5202800000
5.9	3	2011	SaoPaulo	Grande	-48.6338900000	-21.4938900000
11.8	42.5	2011	SaoPaulo	Grande	-52.5538900000	-22.5938900000
14.6	88	2011	SaoPaulo	Pequeno	-49.8786100000	-20.7238900000
13.5	54.5	2011	SaoPaulo	Pequeno	-49.3975000000	-21.1736100000
12.9	47	2011	SaoPaulo	Grande	-49.3933300000	-21.1911100000
4.2	1.7	2011	SaoPaulo	Pequeno	-49.3011100000	-20.8891700000
8	10	2011	SaoPaulo	Grande	-51.5433300000	-21.6497200000
6.8	6	2012	SaoPaulo	Pequeno	-51.7233300000	-20.9927800000
13.1	39	2012	SaoPaulo	Pequeno	-51.7013900000	-21.0005600000
5.4	3	2012	SaoPaulo	Grande	-47.7002800000	-21.5505600000
11.8	28	2012	SaoPaulo	Pequeno	-47.1486100000	-23.9141700000
14.75	121	2012	Goias	Grande	-49.6013900000	-16.6191700000
11.6	36	2012	Goias	Pequeno	-50.5586100000	-17.5419400000
7.3	8	2012	Goias	Pequeno	-50.8044400000	-17.7836100000
15.1	78	2012	MinasGerais	Grande	-50.3294400000	-19.3172200000
10.6	21	2012	SaoPaulo	Grande	-49.3366700000	-21.1072200000
8.5	11	2012	SaoPaulo	Pequeno	-48.4858300000	-22.0555600000
15.1	69	2012	SaoPaulo	Pequeno	-47.7719400000	-21.9019400000
12	42	2013	SaoPaulo	Grande	-50.3716700000	-20.6286100000
23.5	261	2014	SaoPaulo	Pequeno	-46.9847200000	-21.9650000000
5.2	3.3	2014	SaoPaulo	Pequeno	-49.3975000000	-21.1736100000
12.9	41.7	2015	SaoPaulo	Pequeno	-45.5234166667	-22.9315277778
12.9	73.5	2017	SaoPaulo	Pequeno	-47.7687805556	-23.3263888889
